"Штрих-код";"Кількість";"Ціна_роздрібна";"Ціна_опту";"Назва_позиції"
"4825020803365";58;345;250;"Контейнер для зберігання   код. 0336 (арт. W51-WS102)"
"4825020804294";115;150;115;"Контейнер для зберігання на кухню косий  код. 0429 (арт. 627)"
"4825020804300";84;180;140;"Контейнер для зберігання на кухню косий  код. 0430 (арт. 628)"
"4825020803389";53;120;80;"Контейнер для зберігання приправ 3 шт.   код. 0338 (арт. X37-8303-2)"
"4825020803396";35;160;105;"Контейнер для зберігання приправ 4 шт.   код. 0339 (арт. X37-8304-2)"
"4825020803341";61;245;150;"Контейнер для зберігання чаю   код. 0334 (арт. H01-2306)"
"4821615504563";224;110;67;"Контейнер для приправ   РЕТ пластик  КОД:  0456  (арт.) 920-3330"
"4825020804140";96;250;125;"Контейнер для продуктів 1500 мл.   код. 0414 (арт. K10-2673)"
"4825020803433";125;250;185;"Контейнер для серветок  код. 0343 (арт. X78-9018-1PET)"
"4825020803440";40;260;200;"Контейнер для серветок  код. 0344 (арт. X78-9009PET)"
"4825020804157";7;250;175;"Контейнер для серветок настінний   код. 0415 (арт. GO-90)"
"4825020804188";64;270;170;"Контейнер для сміття  код. 0418 (арт. 6802)"
"4820341804381";47;630;515;"Контейнер для сміття 10 л  Пластик  КОД:  0438  (арт.) F321-6115D 10L"
"4820341804343";31;540;395;"Контейнер для сміття 11 л  Пластик  КОД:  0434  (арт.) F342-03 11L"
"4820341804398";29;800;660;"Контейнер для сміття 14 л  Пластик  КОД:  0439  (арт.) F321-6116D 14L"
"4820341804336";37;700;520;"Контейнер для сміття 15 л  Пластик  КОД:  0433  (арт.) F342-03 15L"
"4820341804367";168;500;370;"Контейнер для сміття 15 л  Пластик  КОД:  0436  (арт.) F347-PP15L"
